ACC,NPV,PPV,SEN,SPC,config,cost_matrix
0.833333333333,0.8,0.875,0.777777777778,0.888888888889,"{""optimizer"": ""adam"", ""nb_epoch"": 350, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",12.5
1.0,1.0,1.0,1.0,1.0,"{""optimizer"": ""adam"", ""nb_epoch"": 350, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",0.0
0.875,0.875,0.875,0.875,0.875,"{""optimizer"": ""adam"", ""nb_epoch"": 350, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",7.5
1.0,1.0,1.0,1.0,1.0,"{""optimizer"": ""adam"", ""nb_epoch"": 350, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",0.0
0.8125,1.0,0.727272727273,1.0,0.625,"{""optimizer"": ""adam"", ""nb_epoch"": 350, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",7.5
0.75,0.75,0.75,0.75,0.75,"{""optimizer"": ""adam"", ""nb_epoch"": 350, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",15.0
0.8125,1.0,0.727272727273,1.0,0.625,"{""optimizer"": ""adam"", ""nb_epoch"": 350, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",7.5
0.9375,1.0,0.888888888889,1.0,0.875,"{""optimizer"": ""adam"", ""nb_epoch"": 350, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",2.5
0.8125,0.777777777778,0.857142857143,0.75,0.875,"{""optimizer"": ""adam"", ""nb_epoch"": 350, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",12.5
1.0,1.0,1.0,1.0,1.0,"{""optimizer"": ""adam"", ""nb_epoch"": 350, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",0.0
0.722222222222,0.833333333333,0.666666666667,0.888888888889,0.555555555556,"{""optimizer"": ""sgd"", ""nb_epoch"": 375, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",15.0
0.823529411765,1.0,0.727272727273,1.0,0.666666666667,"{""optimizer"": ""sgd"", ""nb_epoch"": 375, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",7.5
0.8125,0.857142857143,0.777777777778,0.875,0.75,"{""optimizer"": ""sgd"", ""nb_epoch"": 375, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",10.0
0.9375,1.0,0.888888888889,1.0,0.875,"{""optimizer"": ""sgd"", ""nb_epoch"": 375, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",2.5
0.625,1.0,0.571428571429,1.0,0.25,"{""optimizer"": ""sgd"", ""nb_epoch"": 375, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",15.0
0.8125,0.857142857143,0.777777777778,0.875,0.75,"{""optimizer"": ""sgd"", ""nb_epoch"": 375, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",10.0
0.8125,1.0,0.727272727273,1.0,0.625,"{""optimizer"": ""sgd"", ""nb_epoch"": 375, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",7.5
0.875,1.0,0.8,1.0,0.75,"{""optimizer"": ""sgd"", ""nb_epoch"": 375, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",5.0
0.75,0.833333333333,0.7,0.875,0.625,"{""optimizer"": ""sgd"", ""nb_epoch"": 375, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",12.5
0.875,1.0,0.8,1.0,0.75,"{""optimizer"": ""sgd"", ""nb_epoch"": 375, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",5.0
0.833333333333,0.8,0.875,0.777777777778,0.888888888889,"{""optimizer"": ""adam"", ""nb_epoch"": 375, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",12.5
1.0,1.0,1.0,1.0,1.0,"{""optimizer"": ""adam"", ""nb_epoch"": 375, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",0.0
0.9375,0.888888888889,1.0,0.875,1.0,"{""optimizer"": ""adam"", ""nb_epoch"": 375, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",5.0
1.0,1.0,1.0,1.0,1.0,"{""optimizer"": ""adam"", ""nb_epoch"": 375, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",0.0
0.8125,1.0,0.727272727273,1.0,0.625,"{""optimizer"": ""adam"", ""nb_epoch"": 375, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",7.5
0.75,0.75,0.75,0.75,0.75,"{""optimizer"": ""adam"", ""nb_epoch"": 375, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",15.0
0.875,1.0,0.8,1.0,0.75,"{""optimizer"": ""adam"", ""nb_epoch"": 375, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",5.0
0.9375,1.0,0.888888888889,1.0,0.875,"{""optimizer"": ""adam"", ""nb_epoch"": 375, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",2.5
0.8125,0.777777777778,0.857142857143,0.75,0.875,"{""optimizer"": ""adam"", ""nb_epoch"": 375, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",12.5
1.0,1.0,1.0,1.0,1.0,"{""optimizer"": ""adam"", ""nb_epoch"": 375, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",0.0
0.666666666667,0.8,0.615384615385,0.888888888889,0.444444444444,"{""optimizer"": ""sgd"", ""nb_epoch"": 400, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",17.5
0.882352941176,1.0,0.8,1.0,0.777777777778,"{""optimizer"": ""sgd"", ""nb_epoch"": 400, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",5.0
0.8125,0.857142857143,0.777777777778,0.875,0.75,"{""optimizer"": ""sgd"", ""nb_epoch"": 400, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",10.0
0.9375,1.0,0.888888888889,1.0,0.875,"{""optimizer"": ""sgd"", ""nb_epoch"": 400, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",2.5
0.6875,1.0,0.615384615385,1.0,0.375,"{""optimizer"": ""sgd"", ""nb_epoch"": 400, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",12.5
0.8125,0.857142857143,0.777777777778,0.875,0.75,"{""optimizer"": ""sgd"", ""nb_epoch"": 400, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",10.0
0.8125,1.0,0.727272727273,1.0,0.625,"{""optimizer"": ""sgd"", ""nb_epoch"": 400, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",7.5
0.875,1.0,0.8,1.0,0.75,"{""optimizer"": ""sgd"", ""nb_epoch"": 400, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",5.0
0.75,0.833333333333,0.7,0.875,0.625,"{""optimizer"": ""sgd"", ""nb_epoch"": 400, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",12.5
0.875,1.0,0.8,1.0,0.75,"{""optimizer"": ""sgd"", ""nb_epoch"": 400, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",5.0
0.833333333333,0.8,0.875,0.777777777778,0.888888888889,"{""optimizer"": ""adam"", ""nb_epoch"": 400, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",12.5
1.0,1.0,1.0,1.0,1.0,"{""optimizer"": ""adam"", ""nb_epoch"": 400, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",0.0
0.875,0.875,0.875,0.875,0.875,"{""optimizer"": ""adam"", ""nb_epoch"": 400, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",7.5
1.0,1.0,1.0,1.0,1.0,"{""optimizer"": ""adam"", ""nb_epoch"": 400, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",0.0
0.875,1.0,0.8,1.0,0.75,"{""optimizer"": ""adam"", ""nb_epoch"": 400, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",5.0
0.75,0.75,0.75,0.75,0.75,"{""optimizer"": ""adam"", ""nb_epoch"": 400, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",15.0
0.8125,1.0,0.727272727273,1.0,0.625,"{""optimizer"": ""adam"", ""nb_epoch"": 400, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",7.5
0.9375,1.0,0.888888888889,1.0,0.875,"{""optimizer"": ""adam"", ""nb_epoch"": 400, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",2.5
0.8125,0.777777777778,0.857142857143,0.75,0.875,"{""optimizer"": ""adam"", ""nb_epoch"": 400, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",12.5
1.0,1.0,1.0,1.0,1.0,"{""optimizer"": ""adam"", ""nb_epoch"": 400, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",0.0
0.777777777778,0.857142857143,0.727272727273,0.888888888889,0.666666666667,"{""optimizer"": ""sgd"", ""nb_epoch"": 425, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",12.5
0.882352941176,1.0,0.8,1.0,0.777777777778,"{""optimizer"": ""sgd"", ""nb_epoch"": 425, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",5.0
0.8125,0.857142857143,0.777777777778,0.875,0.75,"{""optimizer"": ""sgd"", ""nb_epoch"": 425, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",10.0
0.9375,1.0,0.888888888889,1.0,0.875,"{""optimizer"": ""sgd"", ""nb_epoch"": 425, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",2.5
0.6875,1.0,0.615384615385,1.0,0.375,"{""optimizer"": ""sgd"", ""nb_epoch"": 425, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",12.5
0.8125,0.857142857143,0.777777777778,0.875,0.75,"{""optimizer"": ""sgd"", ""nb_epoch"": 425, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",10.0
0.8125,1.0,0.727272727273,1.0,0.625,"{""optimizer"": ""sgd"", ""nb_epoch"": 425, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",7.5
0.875,1.0,0.8,1.0,0.75,"{""optimizer"": ""sgd"", ""nb_epoch"": 425, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",5.0
0.75,0.833333333333,0.7,0.875,0.625,"{""optimizer"": ""sgd"", ""nb_epoch"": 425, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",12.5
0.875,1.0,0.8,1.0,0.75,"{""optimizer"": ""sgd"", ""nb_epoch"": 425, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",5.0
0.833333333333,0.8,0.875,0.777777777778,0.888888888889,"{""optimizer"": ""adam"", ""nb_epoch"": 425, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",12.5
1.0,1.0,1.0,1.0,1.0,"{""optimizer"": ""adam"", ""nb_epoch"": 425, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",0.0
0.9375,0.888888888889,1.0,0.875,1.0,"{""optimizer"": ""adam"", ""nb_epoch"": 425, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",5.0
1.0,1.0,1.0,1.0,1.0,"{""optimizer"": ""adam"", ""nb_epoch"": 425, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",0.0
0.875,1.0,0.8,1.0,0.75,"{""optimizer"": ""adam"", ""nb_epoch"": 425, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",5.0
0.75,0.75,0.75,0.75,0.75,"{""optimizer"": ""adam"", ""nb_epoch"": 425, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",15.0
0.8125,1.0,0.727272727273,1.0,0.625,"{""optimizer"": ""adam"", ""nb_epoch"": 425, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",7.5
0.9375,1.0,0.888888888889,1.0,0.875,"{""optimizer"": ""adam"", ""nb_epoch"": 425, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",2.5
0.8125,0.777777777778,0.857142857143,0.75,0.875,"{""optimizer"": ""adam"", ""nb_epoch"": 425, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",12.5
1.0,1.0,1.0,1.0,1.0,"{""optimizer"": ""adam"", ""nb_epoch"": 425, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",0.0
0.777777777778,0.857142857143,0.727272727273,0.888888888889,0.666666666667,"{""optimizer"": ""sgd"", ""nb_epoch"": 450, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",12.5
0.941176470588,1.0,0.888888888889,1.0,0.888888888889,"{""optimizer"": ""sgd"", ""nb_epoch"": 450, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",2.5
0.875,0.875,0.875,0.875,0.875,"{""optimizer"": ""sgd"", ""nb_epoch"": 450, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",7.5
0.9375,1.0,0.888888888889,1.0,0.875,"{""optimizer"": ""sgd"", ""nb_epoch"": 450, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",2.5
0.6875,1.0,0.615384615385,1.0,0.375,"{""optimizer"": ""sgd"", ""nb_epoch"": 450, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",12.5
0.8125,0.857142857143,0.777777777778,0.875,0.75,"{""optimizer"": ""sgd"", ""nb_epoch"": 450, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",10.0
0.8125,1.0,0.727272727273,1.0,0.625,"{""optimizer"": ""sgd"", ""nb_epoch"": 450, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",7.5
0.875,1.0,0.8,1.0,0.75,"{""optimizer"": ""sgd"", ""nb_epoch"": 450, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",5.0
0.75,0.833333333333,0.7,0.875,0.625,"{""optimizer"": ""sgd"", ""nb_epoch"": 450, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",12.5
0.875,1.0,0.8,1.0,0.75,"{""optimizer"": ""sgd"", ""nb_epoch"": 450, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",5.0
0.833333333333,0.8,0.875,0.777777777778,0.888888888889,"{""optimizer"": ""adam"", ""nb_epoch"": 450, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",12.5
1.0,1.0,1.0,1.0,1.0,"{""optimizer"": ""adam"", ""nb_epoch"": 450, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",0.0
0.9375,0.888888888889,1.0,0.875,1.0,"{""optimizer"": ""adam"", ""nb_epoch"": 450, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",5.0
1.0,1.0,1.0,1.0,1.0,"{""optimizer"": ""adam"", ""nb_epoch"": 450, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",0.0
0.875,1.0,0.8,1.0,0.75,"{""optimizer"": ""adam"", ""nb_epoch"": 450, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",5.0
0.75,0.75,0.75,0.75,0.75,"{""optimizer"": ""adam"", ""nb_epoch"": 450, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",15.0
0.875,1.0,0.8,1.0,0.75,"{""optimizer"": ""adam"", ""nb_epoch"": 450, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",5.0
0.9375,1.0,0.888888888889,1.0,0.875,"{""optimizer"": ""adam"", ""nb_epoch"": 450, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",2.5
0.8125,0.777777777778,0.857142857143,0.75,0.875,"{""optimizer"": ""adam"", ""nb_epoch"": 450, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",12.5
1.0,1.0,1.0,1.0,1.0,"{""optimizer"": ""adam"", ""nb_epoch"": 450, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",0.0
0.777777777778,0.857142857143,0.727272727273,0.888888888889,0.666666666667,"{""optimizer"": ""sgd"", ""nb_epoch"": 475, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",12.5
0.941176470588,1.0,0.888888888889,1.0,0.888888888889,"{""optimizer"": ""sgd"", ""nb_epoch"": 475, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",2.5
0.875,0.875,0.875,0.875,0.875,"{""optimizer"": ""sgd"", ""nb_epoch"": 475, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",7.5
0.9375,1.0,0.888888888889,1.0,0.875,"{""optimizer"": ""sgd"", ""nb_epoch"": 475, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",2.5
0.6875,1.0,0.615384615385,1.0,0.375,"{""optimizer"": ""sgd"", ""nb_epoch"": 475, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",12.5
0.8125,0.857142857143,0.777777777778,0.875,0.75,"{""optimizer"": ""sgd"", ""nb_epoch"": 475, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",10.0
0.8125,1.0,0.727272727273,1.0,0.625,"{""optimizer"": ""sgd"", ""nb_epoch"": 475, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",7.5
0.875,1.0,0.8,1.0,0.75,"{""optimizer"": ""sgd"", ""nb_epoch"": 475, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",5.0
0.75,0.833333333333,0.7,0.875,0.625,"{""optimizer"": ""sgd"", ""nb_epoch"": 475, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",12.5
0.875,1.0,0.8,1.0,0.75,"{""optimizer"": ""sgd"", ""nb_epoch"": 475, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",5.0
0.833333333333,0.8,0.875,0.777777777778,0.888888888889,"{""optimizer"": ""adam"", ""nb_epoch"": 475, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",12.5
1.0,1.0,1.0,1.0,1.0,"{""optimizer"": ""adam"", ""nb_epoch"": 475, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",0.0
0.9375,0.888888888889,1.0,0.875,1.0,"{""optimizer"": ""adam"", ""nb_epoch"": 475, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",5.0
1.0,1.0,1.0,1.0,1.0,"{""optimizer"": ""adam"", ""nb_epoch"": 475, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",0.0
0.875,1.0,0.8,1.0,0.75,"{""optimizer"": ""adam"", ""nb_epoch"": 475, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",5.0
0.75,0.75,0.75,0.75,0.75,"{""optimizer"": ""adam"", ""nb_epoch"": 475, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",15.0
0.875,1.0,0.8,1.0,0.75,"{""optimizer"": ""adam"", ""nb_epoch"": 475, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",5.0
0.9375,1.0,0.888888888889,1.0,0.875,"{""optimizer"": ""adam"", ""nb_epoch"": 475, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",2.5
0.8125,0.777777777778,0.857142857143,0.75,0.875,"{""optimizer"": ""adam"", ""nb_epoch"": 475, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",12.5
1.0,1.0,1.0,1.0,1.0,"{""optimizer"": ""adam"", ""nb_epoch"": 475, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",0.0
0.777777777778,0.857142857143,0.727272727273,0.888888888889,0.666666666667,"{""optimizer"": ""sgd"", ""nb_epoch"": 500, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",12.5
0.941176470588,1.0,0.888888888889,1.0,0.888888888889,"{""optimizer"": ""sgd"", ""nb_epoch"": 500, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",2.5
0.875,0.875,0.875,0.875,0.875,"{""optimizer"": ""sgd"", ""nb_epoch"": 500, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",7.5
0.9375,1.0,0.888888888889,1.0,0.875,"{""optimizer"": ""sgd"", ""nb_epoch"": 500, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",2.5
0.6875,1.0,0.615384615385,1.0,0.375,"{""optimizer"": ""sgd"", ""nb_epoch"": 500, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",12.5
0.8125,0.857142857143,0.777777777778,0.875,0.75,"{""optimizer"": ""sgd"", ""nb_epoch"": 500, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",10.0
0.8125,1.0,0.727272727273,1.0,0.625,"{""optimizer"": ""sgd"", ""nb_epoch"": 500, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",7.5
0.875,1.0,0.8,1.0,0.75,"{""optimizer"": ""sgd"", ""nb_epoch"": 500, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",5.0
0.75,0.833333333333,0.7,0.875,0.625,"{""optimizer"": ""sgd"", ""nb_epoch"": 500, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",12.5
0.875,1.0,0.8,1.0,0.75,"{""optimizer"": ""sgd"", ""nb_epoch"": 500, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",5.0
0.833333333333,0.8,0.875,0.777777777778,0.888888888889,"{""optimizer"": ""adam"", ""nb_epoch"": 500, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",12.5
1.0,1.0,1.0,1.0,1.0,"{""optimizer"": ""adam"", ""nb_epoch"": 500, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",0.0
0.9375,0.888888888889,1.0,0.875,1.0,"{""optimizer"": ""adam"", ""nb_epoch"": 500, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",5.0
1.0,1.0,1.0,1.0,1.0,"{""optimizer"": ""adam"", ""nb_epoch"": 500, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",0.0
0.875,1.0,0.8,1.0,0.75,"{""optimizer"": ""adam"", ""nb_epoch"": 500, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",5.0
0.75,0.75,0.75,0.75,0.75,"{""optimizer"": ""adam"", ""nb_epoch"": 500, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",15.0
0.875,1.0,0.8,1.0,0.75,"{""optimizer"": ""adam"", ""nb_epoch"": 500, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",5.0
0.9375,1.0,0.888888888889,1.0,0.875,"{""optimizer"": ""adam"", ""nb_epoch"": 500, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",2.5
0.8125,0.777777777778,0.857142857143,0.75,0.875,"{""optimizer"": ""adam"", ""nb_epoch"": 500, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",12.5
1.0,1.0,1.0,1.0,1.0,"{""optimizer"": ""adam"", ""nb_epoch"": 500, ""batch_size"": 50, ""dropout_1"": 0.1, ""dropout_2"": 0.5, ""output_dim"": 2}",0.0
